6;2.97E-06;100;80; 0 -> 5 -> 1 -> 2 -> 3 -> 4 -> 0
10;0.0042793;1;212; 0 -> 3 -> 4 -> 2 -> 8 -> 7 -> 6 -> 9 -> 1 -> 5 -> 0
12;0.411596;5;264; 0 -> 1 -> 8 -> 4 -> 6 -> 2 -> 11 -> 9 -> 7 -> 5 -> 3 -> 10 -> 0
13;4.96511;5;269; 0 -> 10 -> 3 -> 5 -> 7 -> 9 -> 11 -> 2 -> 6 -> 4 -> 8 -> 1 -> 12 -> 0
14;66.7893;1;282; 0 -> 10 -> 3 -> 5 -> 7 -> 9 -> 13 -> 11 -> 2 -> 6 -> 4 -> 8 -> 1 -> 12 -> 0
15;980.645;1;291; 0 -> 10 -> 3 -> 5 -> 7 -> 9 -> 13 -> 11 -> 2 -> 6 -> 4 -> 8 -> 14 -> 1 -> 12 -> 0
12;0.523413;5;264; 0 -> 1 -> 8 -> 4 -> 6 -> 2 -> 11 -> 9 -> 7 -> 5 -> 3 -> 10 -> 0
